"match_id","player1_id","player2_id","p1_winrate","p1_matches_played","p1_avg_svpt","p1_avg_ace","p1_avg_df","p1_avg_duration","p2_winrate","p2_matches_played","p2_avg_svpt","p2_avg_ace","p2_avg_df","p2_avg_duration","surface","best_of","match_weekday","match_month","season_phase","y"
163,102965,101820,0.666666666666667,3,74,5,2.33333333333333,84,0.666666666666667,3,61,5.66666666666667,4,68.3333333333333,"Hard",5,"Mo",1,"early","0"
164,102998,102286,0.5,4,76.5,9.75,4,100,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","0"
165,102644,102512,0.333333333333333,3,73.6666666666667,3.66666666666667,6.66666666666667,83,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
166,101185,102106,0,2,70,1.5,1.5,91,0.666666666666667,3,92,8.66666666666667,1,109,"Hard",5,"Mo",1,"early","1"
167,102369,101792,0,1,78,6,10,108,0.6,5,74.2,1.2,1,94,"Hard",5,"Mo",1,"early","0"
168,103387,102344,NA,0,NA,NA,NA,NA,0.5,2,65.5,7,4,91.5,"Hard",5,"Mo",1,"early","1"
169,102259,102450,1,4,63.75,7.25,1.5,89.25,0.666666666666667,3,77.3333333333333,4,5.33333333333333,96.6666666666667,"Hard",5,"Mo",1,"early","0"
170,102548,102783,0.5,2,24.5,1.5,1,34,0.8,5,71.4,2.6,1.2,99.4,"Hard",5,"Mo",1,"early","0"
171,102422,101463,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
172,103206,102300,0.5,4,79.5,7,2,92.25,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
173,103344,102872,0.6,5,81.2,10.8,3.8,90,0.5,2,76,2,4,96,"Hard",5,"Mo",1,"early","0"
174,101711,102809,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","0"
175,101735,102358,0.333333333333333,3,81.6666666666667,10.3333333333333,3.33333333333333,108.666666666667,0.8,5,73,6,2.2,88.6,"Hard",5,"Mo",1,"early","1"
176,102287,102856,NA,0,NA,NA,NA,NA,0,1,100,6,8,114,"Hard",5,"Mo",1,"early","1"
177,102434,102437,0,2,92.5,4.5,2.5,99.5,0.5,4,81.75,8.75,3.75,102.5,"Hard",5,"Mo",1,"early","0"
178,103720,102834,1,9,61.7777777777778,3.11111111111111,2.77777777777778,86.2222222222222,0,1,85,2,6,115,"Hard",5,"Mo",1,"early","1"
179,102227,102374,0,1,110,2,5,144,0.75,4,87,4.5,2.25,109.5,"Hard",5,"Mo",1,"early","0"
180,101727,102035,0.75,8,70.75,5.625,3.375,85.625,0,1,100,8,4,96,"Hard",5,"Mo",1,"early","0"
181,103193,103181,NA,0,NA,NA,NA,NA,0,1,95,5,0,106,"Hard",5,"Mo",1,"early","0"
182,101150,102720,0,1,64,8,5,89,0,1,70,4,2,80,"Hard",5,"Mo",1,"early","1"
